background,living,bedroom,bathroom,kitchen,balcony,wall,opening,room
11799784,0,0,3407,1657,0,276304,3472,3927
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
86445,0,0,81678,0,0,19713,0,0
267161,0,0,230302,75904,0,8288,25,52304
203147,0,0,0,0,0,1342,553,7741
580249,0,0,4521,8225,0,718751,15604,5248
190556,0,0,1018,1925,0,47952,129951,3229
1479020,0,0,84482,158450,0,9024,385,951966
