background,living,bedroom,bathroom,kitchen,balcony,wall,opening,room
11997978,0,0,2552,535,0,79133,4761,3592
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
97257,0,0,82679,1008,0,6866,26,0
290867,0,0,129165,210051,0,3759,142,0
212149,0,0,0,0,0,224,410,0
756945,0,0,7932,1037,0,542125,9111,15448
235839,0,0,7279,398,0,13907,111168,6040
1579320,0,0,51978,32126,0,12807,441,1006655
