background,living,bedroom,bathroom,kitchen,balcony,wall,opening,room
9985451,0,0,347170,676627,0,440675,376252,262376
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
5933,0,0,133763,14339,0,30915,2798,88
32550,0,0,180070,257430,0,57430,38270,68234
152782,0,0,1280,8948,0,31722,17986,65
175686,0,0,75875,37336,0,832265,193921,17515
53322,0,0,38166,6178,0,57433,217537,1995
261713,0,0,700545,360908,0,164317,166695,1029149
