background,living,bedroom,bathroom,kitchen,balcony,wall,opening,room
2235956,0,0,1316610,0,6668,0,35502,8493815
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
80145,0,0,0,0,2353,0,0,105338
366520,0,0,0,0,5288,0,29574,232602
89086,0,0,0,0,2568,0,0,121129
650307,0,0,61403,0,39550,0,64686,516652
143609,0,0,9525,0,28179,0,25643,167675
1030114,0,0,159687,0,24536,0,577095,891895
