background,living,bedroom,bathroom,kitchen,balcony,wall,opening
3611590,7285324,0,1095104,0,7381,0,89152
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
159705,23511,0,22,0,589,0,4009
565501,59997,0,415,0,1119,0,6952
163656,40528,0,8584,0,15,0,0
725652,394693,0,62037,0,33399,0,116817
205051,96563,0,12066,0,14607,0,46344
1773812,238274,0,144702,0,1302,0,525237
