background,living,bedroom,bathroom,kitchen,balcony,wall,opening
11586644,249971,3585,46023,177773,0,20678,3877
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
81861,0,1299,88990,15110,0,576,0
252319,58645,46403,62868,213163,0,574,12
197914,1419,3117,0,10014,0,133,186
1036300,64201,8286,6176,57703,0,128466,31466
221982,9039,3001,5945,18911,0,4223,111530
1062756,1053528,327012,67814,171254,0,378,585
