background,living,bedroom,bathroom,kitchen,balcony,wall,opening,room
11990806,0,0,1344,3573,0,80514,3356,8958
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
48361,0,0,123493,0,0,15623,39,320
331191,0,0,61937,158795,0,7075,63,74923
199742,0,0,0,7583,0,2146,74,3238
693523,0,0,1721,6955,0,601676,4685,24038
215291,0,0,721,5148,0,16362,122623,14486
1552534,0,0,19846,29390,0,9931,609,1071017
