background,living,bedroom,bathroom,kitchen,balcony,wall,opening
11683988,1050,1140,18398,1633,0,379194,3148
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
54910,0,0,125709,0,0,7217,0
234124,426,5036,134410,248793,0,10853,335
208706,0,0,0,0,0,4004,73
560559,328,3374,11092,18295,0,721701,5968
186278,116,559,18778,4547,0,57236,104456
